Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,HSS,HSS8X8X3/8,–,–,–,–,–,–,10.4,–,–,–,–,–,–,–,–,37.69,–,–,–,–,–,100,29.4,24.9,3.1,–,–,100,29.4,24.9,3.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,160,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8,6.95,–,19.9,19.9,–,8,6.95,0.375,0.349,–,40.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X8X5/16,–,–,–,–,–,–,8.76,–,–,–,–,–,–,–,–,31.84,–,–,–,–,–,85.6,25.1,21.4,3.13,–,–,85.6,25.1,21.4,3.13,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,136,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8,7.13,–,24.5,24.5,–,8,7.13,0.3125,0.291,–,34.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X8X1/4,–,–,–,–,–,–,7.1,–,–,–,–,–,–,–,–,25.82,–,–,–,–,–,70.7,20.5,17.7,3.15,–,–,70.7,20.5,17.7,3.15,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,111,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8,7.3,–,31.3,31.3,–,8,7.3,0.25,0.233,–,28.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X8X3/16,–,–,–,–,–,–,5.37,–,–,–,–,–,–,–,–,19.63,–,–,–,–,–,54.4,15.7,13.6,3.18,–,–,54.4,15.7,13.6,3.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,84.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8,7.48,–,43,43,–,8,7.48,0.1875,0.174,–,21.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X8X1/8,–,–,–,–,–,–,3.62,–,–,–,–,–,–,–,–,13.26,–,–,–,–,–,37.4,10.7,9.34,3.21,–,–,37.4,10.7,9.34,3.21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,57.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8,7.65,–,65.9,65.9,–,8,7.65,0.125,0.116,–,14.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X6X5/8,–,–,–,–,–,–,14,–,–,–,–,–,–,–,–,50.81,–,–,–,–,–,114,36.1,28.5,2.85,–,–,72.3,29.5,24.1,2.27,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,150,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,4.26,–,10.8,7.33,–,8,6.26,0.625,0.581,–,46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X6X1/2,–,–,–,–,–,–,11.6,–,–,–,–,–,–,–,–,42.05,–,–,–,–,–,98.2,30.5,24.6,2.91,–,–,62.5,24.9,20.8,2.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,127,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,4.61,–,14.2,9.91,–,8,6.6,0.5,0.465,–,38.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X6X3/8,–,–,–,–,–,–,8.97,–,–,–,–,–,–,–,–,32.58,–,–,–,–,–,79.1,24.1,19.8,2.97,–,–,50.6,19.8,16.9,2.38,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,4.95,–,19.9,14.2,–,8,6.95,0.375,0.349,–,30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X6X5/16,–,–,–,–,–,–,7.59,–,–,–,–,–,–,–,–,27.59,–,–,–,–,–,68.3,20.6,17.1,3,–,–,43.8,16.9,14.6,2.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,85.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,5.13,–,24.5,17.6,–,8,7.13,0.3125,0.291,–,25.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X6X1/4,–,–,–,–,–,–,6.17,–,–,–,–,–,–,–,–,22.42,–,–,–,–,–,56.6,16.9,14.2,3.03,–,–,36.4,13.9,12.1,2.43,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,70.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,5.3,–,31.3,22.7,–,8,7.3,0.25,0.233,–,20.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X6X3/16,–,–,–,–,–,–,4.67,–,–,–,–,–,–,–,–,17.08,–,–,–,–,–,43.7,13,10.9,3.06,–,–,28.2,10.7,9.39,2.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,53.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6,5.48,–,43,31.5,–,8,7.48,0.1875,0.174,–,15.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X4X5/8,–,–,–,–,–,–,11.7,–,–,–,–,–,–,–,–,42.3,–,–,–,–,–,82,27.4,20.5,2.64,–,–,26.6,16.6,13.3,1.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,70.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,2.26,–,10.8,3.89,–,8,6.26,0.625,0.581,–,28.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X4X1/2,–,–,–,–,–,–,9.74,–,–,–,–,–,–,–,–,35.24,–,–,–,–,–,71.8,23.5,17.9,2.71,–,–,23.6,14.3,11.8,1.56,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,61.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,2.6,–,14.2,5.59,–,8,6.6,0.5,0.465,–,24.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X4X3/8,–,–,–,–,–,–,7.58,–,–,–,–,–,–,–,–,27.48,–,–,–,–,–,58.7,18.8,14.7,2.78,–,–,19.6,11.5,9.8,1.61,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,49.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,2.95,–,19.9,8.45,–,8,6.95,0.375,0.349,–,19.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X4X5/16,–,–,–,–,–,–,6.43,–,–,–,–,–,–,–,–,23.34,–,–,–,–,–,51,16.1,12.8,2.82,–,–,17.2,9.91,8.58,1.63,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.13,–,24.5,10.8,–,8,7.13,0.3125,0.291,–,16.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X4X1/4,–,–,–,–,–,–,5.24,–,–,–,–,–,–,–,–,19.02,–,–,–,–,–,42.5,13.3,10.6,2.85,–,–,14.4,8.2,7.21,1.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.3,–,31.3,14.2,–,8,7.3,0.25,0.233,–,13.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X4X3/16,–,–,–,–,–,–,3.98,–,–,–,–,–,–,–,–,14.53,–,–,–,–,–,33.1,10.2,8.27,2.88,–,–,11.3,6.33,5.65,1.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,27.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.48,–,43,20,–,8,7.48,0.1875,0.174,–,10.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X4X1/8,–,–,–,–,–,–,2.7,–,–,–,–,–,–,–,–,9.86,–,–,–,–,–,22.9,7.02,5.73,2.92,–,–,7.9,4.36,3.95,1.71,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4,3.65,–,65.9,31.5,–,8,7.65,0.125,0.116,–,7.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X3X1/2,–,–,–,–,–,–,8.81,–,–,–,–,–,–,–,–,31.84,–,–,–,–,–,58.6,20,14.6,2.58,–,–,11.7,9.64,7.81,1.15,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,1.6,–,14.2,3.44,–,8,6.6,0.5,0.465,–,17.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X3X3/8,–,–,–,–,–,–,6.88,–,–,–,–,–,–,–,–,24.93,–,–,–,–,–,48.5,16.1,12.1,2.65,–,–,10,7.88,6.63,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,1.95,–,19.9,5.59,–,8,6.95,0.375,0.349,–,14,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X3X5/16,–,–,–,–,–,–,5.85,–,–,–,–,–,–,–,–,21.21,–,–,–,–,–,42.4,13.9,10.6,2.69,–,–,8.81,6.84,5.87,1.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,24.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.13,–,24.5,7.32,–,8,7.13,0.3125,0.291,–,12.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X3X1/4,–,–,–,–,–,–,4.77,–,–,–,–,–,–,–,–,17.32,–,–,–,–,–,35.5,11.5,8.88,2.73,–,–,7.49,5.7,4.99,1.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.3,–,31.3,9.87,–,8,7.3,0.25,0.233,–,10,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X3X3/16,–,–,–,–,–,–,3.63,–,–,–,–,–,–,–,–,13.25,–,–,–,–,–,27.8,8.87,6.94,2.77,–,–,5.94,4.43,3.96,1.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.48,–,43,14.3,–,8,7.48,0.1875,0.174,–,7.68,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X3X1/8,–,–,–,–,–,–,2.46,–,–,–,–,–,–,–,–,9.01,–,–,–,–,–,19.3,6.11,4.83,2.8,–,–,4.2,3.07,2.8,1.31,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,2.65,–,65.9,22.8,–,8,7.65,0.125,0.116,–,5.27,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X2X3/8,–,–,–,–,–,–,6.18,–,–,–,–,–,–,–,–,22.37,–,–,–,–,–,38.2,13.4,9.56,2.49,–,–,3.73,4.61,3.73,0.777,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,0.953,–,19.9,2.73,–,8,6.95,0.375,0.349,–,8.65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X2X5/16,–,–,–,–,–,–,5.26,–,–,–,–,–,–,–,–,19.08,–,–,–,–,–,33.7,11.6,8.43,2.53,–,–,3.38,4.06,3.38,0.802,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,1.13,–,24.5,3.88,–,8,7.13,0.3125,0.291,–,7.57,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X2X1/4,–,–,–,–,–,–,4.3,–,–,–,–,–,–,–,–,15.62,–,–,–,–,–,28.5,9.68,7.12,2.57,–,–,2.94,3.43,2.94,0.827,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,1.3,–,31.3,5.58,–,8,7.3,0.25,0.233,–,6.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X2X3/16,–,–,–,–,–,–,3.28,–,–,–,–,–,–,–,–,11.97,–,–,–,–,–,22.4,7.51,5.61,2.61,–,–,2.39,2.7,2.39,0.853,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,1.48,–,43,8.51,–,8,7.48,0.1875,0.174,–,4.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS8X2X1/8,–,–,–,–,–,–,2.23,–,–,–,–,–,–,–,–,8.16,–,–,–,–,–,15.7,5.19,3.93,2.65,–,–,1.72,1.9,1.72,0.879,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2,1.65,–,65.9,14.2,–,8,7.65,0.125,0.116,–,3.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X7X5/8,–,–,–,–,–,–,14,–,–,–,–,–,–,–,–,50.81,–,–,–,–,–,93.4,33.1,26.7,2.58,–,–,93.4,33.1,26.7,2.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,158,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,5.26,–,9.05,9.05,–,7,5.26,0.625,0.581,–,47.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X7X1/2,–,–,–,–,–,–,11.6,–,–,–,–,–,–,–,–,42.05,–,–,–,–,–,80.5,27.9,23,2.63,–,–,80.5,27.9,23,2.63,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,133,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,5.6,–,12,12,–,7,5.6,0.5,0.465,–,39.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X7X3/8,–,–,–,–,–,–,8.97,–,–,–,–,–,–,–,–,32.58,–,–,–,–,–,65,22.1,18.6,2.69,–,–,65,22.1,18.6,2.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,5.95,–,17,17,–,7,5.95,0.375,0.349,–,30.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X7X5/16,–,–,–,–,–,–,7.59,–,–,–,–,–,–,–,–,27.59,–,–,–,–,–,56.1,18.9,16,2.72,–,–,56.1,18.9,16,2.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,89.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,6.13,–,21.1,21.1,–,7,6.13,0.3125,0.291,–,26.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X7X1/4,–,–,–,–,–,–,6.17,–,–,–,–,–,–,–,–,22.42,–,–,–,–,–,46.5,15.5,13.3,2.75,–,–,46.5,15.5,13.3,2.75,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,73.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,6.3,–,27,27,–,7,6.3,0.25,0.233,–,21.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X7X3/16,–,–,–,–,–,–,4.67,–,–,–,–,–,–,–,–,17.08,–,–,–,–,–,36,11.9,10.3,2.77,–,–,36,11.9,10.3,2.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,56.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,6.48,–,37.2,37.2,–,7,6.48,0.1875,0.174,–,16.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X7X1/8,–,–,–,–,–,–,3.16,–,–,–,–,–,–,–,–,11.56,–,–,–,–,–,24.8,8.13,7.09,2.8,–,–,24.8,8.13,7.09,2.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,6.65,–,57.3,57.3,–,7,6.65,0.125,0.116,–,11,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X5X1/2,–,–,–,–,–,–,9.74,–,–,–,–,–,–,–,–,35.24,–,–,–,–,–,60.6,21.9,17.3,2.5,–,–,35.6,17.3,14.2,1.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,3.6,–,12,7.74,–,7,5.6,0.5,0.465,–,27.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X5X3/8,–,–,–,–,–,–,7.58,–,–,–,–,–,–,–,–,27.48,–,–,–,–,–,49.5,17.5,14.1,2.56,–,–,29.3,13.8,11.7,1.97,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,60.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,3.95,–,17,11.3,–,7,5.95,0.375,0.349,–,21.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X5X5/16,–,–,–,–,–,–,6.43,–,–,–,–,–,–,–,–,23.34,–,–,–,–,–,43,15,12.3,2.59,–,–,25.5,11.9,10.2,1.99,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,52.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.13,–,21.1,14.2,–,7,6.13,0.3125,0.291,–,18.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X5X1/4,–,–,–,–,–,–,5.24,–,–,–,–,–,–,–,–,19.02,–,–,–,–,–,35.9,12.4,10.2,2.62,–,–,21.3,9.83,8.53,2.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.3,–,27,18.5,–,7,6.3,0.25,0.233,–,15,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,HSS,HSS7X5X3/16,–,–,–,–,–,–,3.98,–,–,–,–,–,–,–,–,14.53,–,–,–,–,–,27.9,9.52,7.96,2.65,–,–,16.6,7.57,6.65,2.05,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5,4.48,–,37.2,25.7,–,7,6.48,0.1875,0.174,–,11.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
